CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
012c5bfce715efb2f2b387d6dd86f9c13e9dc1809fb52ac71501da6110fbd95848a4f380e1b553f8dc03c70f782e85adb155ab97cbeabef83ba76d390c21f535,JG341943,,7/12/2023 15:05,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",7/15/2023 11:30,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,4754,W,63RD ST,813,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,4,7,41.77854194,-87.74206474,POINT (-87.742064741348 41.778541938106)
01d457f032e23d935a0b8f6b4c88221375180ffd4cd959492eea49079953f5168d9dd08cba3d0061a8611e8c1115d2d7b83f39578025012b5f286671e7bcf4ec,JG338388,,7/12/2023 17:50,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",7/12/2023 18:41,FOLLOWING TOO CLOSELY,NOT APPLICABLE,8300,S,PULASKI RD,834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,7,41.74213055,-87.7218241,POINT (-87.72182410033 41.742130554062)
02249b4747a4bf40b88a8357304a98dfeaef9c38eebbf00c3fbedb50b61241515d2d1f4461f23962841f95438429b5cd9e5c0cdacc1d224cad0b2876ce330d33,JG350008,,7/12/2023 14:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER OBJECT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,"$501 - $1,500",7/21/2023 10:10,NOT APPLICABLE,NOT APPLICABLE,9615,S,STONY ISLAND AVE,431,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,14,4,7,41.71984423,-87.58478998,POINT (-87.584789974824 41.719844228292)
03e3b6caad71b78ed9ae325648effa9512bfb2517aed3054e396c283dcfe869598b1a63db575c612fa4205c9b49f515c756cef13d72dcdcc3ef12993874c407a,JG338049,,7/12/2023 7:05,30,TRAFFIC SIGNAL,UNKNOWN,FREEZING RAIN/DRIZZLE,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",7/12/2023 14:18,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,2370,N,ASHLAND AVE,1811,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,7,41.92510495,-87.66829118,POINT (-87.668291181568 41.925104953308)
0481fc919b38f1572d4ba04b069766102d904a662ff0969f04266ebc48a9605d625c64356bd669d7bc1b778f5500a140812b58f19f2044372e50b31a01f030d4,JG338431,,7/12/2023 18:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",7/12/2023 19:15,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,5200,N,ELSTON AVE,1623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,4,7,41.9752581,-87.75199056,POINT (-87.751990557158 41.97525809527)
0500576055e3d46b0ed507761bfeae64457b1b58871f42b70f71fc5a464b4bf6364d2d8364bc90d5c093de919ecb3826bc6f1be7864b07998f3df9179f069040,JF345041,,8/5/2022 9:25,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",8/5/2022 10:20,IMPROPER TURNING/NO SIGNAL,FAILING TO REDUCE SPEED TO AVOID CRASH,1650,N,THROOP ST,1433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,6,8,41.91221556,-87.66190797,POINT (-87.661907974376 41.912215555223)
067575f551ac7df5aa918f14e1fb63daa10dcb0790d2a17af577d0b1ac6606d8506608e1f7d48c4a34fced54bd0b93591cfdce6a0cae43d23d58fcf195b68ffb,JG337491,N,7/12/2023 2:45,35,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",7/12/2023 2:55,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1922,N,PULASKI RD,2534,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,2,4,7,41.91605579,-87.72667353,POINT (-87.726673526828 41.91605579143)
07acb1d484e4c78c22307e80ec0daa51cb4f40a049985638c185c765d516a666790f66a9ac4dee8b480c84eb9f0ec2b5486eb3f9897abdde0b411eadce9d41d0,JB443362,,9/20/2018 11:10,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",9/20/2018 12:10,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,1632,N,THROOP ST,1433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,5,9,41.91166191,-87.66151369,POINT (-87.66151368637 41.911661913381)
09205e5b5b761edc90dbd36ee25a883d1e18da617aa5b33dccc2e0680320df4cb00fed03a5c7a10ab87b13c8d2dbbc25d095f6d19d61bd53040f5969bd8a4636,JG338417,,7/12/2023 17:50,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",7/12/2023 18:55,IMPROPER TURNING/NO SIGNAL,IMPROPER OVERTAKING/PASSING,2732,N,CANNON DR,1935,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,7,0,17,4,7,41.93185208,-87.63817707,POINT (-87.638177073552 41.931852075785)
093fc24cf0d63df8bb9858e38fa8316e57a9e03188a608fac5ab17efdc947f5630a33894fda4c5cd63d975afcea1667871b365458660c1007f9f1f11963550e5,JG337865,Y,7/12/2023 11:00,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",7/12/2023 11:45,FAILING TO YIELD RIGHT-OF-WAY,WEATHER,1649,W,JONQUIL TER,2422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,4,7,42.02106976,-87.67269172,POINT (-87.672691723918 42.021069763335)
