CRASH_DATE,HIT_AND_RUN_I,CAUSES,AMBULANCE_REQUIRED,FATAL_ACCIDENT,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE
7/12/2023,N,"IMPROPER TURNING/NO SIGNAL, UNABLE TO DETERMINE",N,N,15,4,7,41.77854194,-87.74206474
7/12/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,17,4,7,41.74213055,-87.7218241
7/12/2023,N,"NOT APPLICABLE, NOT APPLICABLE",N,N,14,4,7,41.71984423,-87.58478998
7/12/2023,N,"FOLLOWING TOO CLOSELY, UNABLE TO DETERMINE",N,N,7,4,7,41.92510495,-87.66829118
7/12/2023,N,"FOLLOWING TOO CLOSELY, FOLLOWING TOO CLOSELY",N,N,18,4,7,41.9752581,-87.75199056
8/5/2022,N,"IMPROPER TURNING/NO SIGNAL, FAILING TO REDUCE SPEED TO AVOID CRASH",N,N,9,6,8,41.91221556,-87.66190797
7/12/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,2,4,7,41.91605579,-87.72667353
9/20/2018,N,"FAILING TO YIELD RIGHT-OF-WAY, FAILING TO YIELD RIGHT-OF-WAY",N,N,11,5,9,41.91166191,-87.66151369
7/12/2023,N,"IMPROPER TURNING/NO SIGNAL, IMPROPER OVERTAKING/PASSING",N,N,17,4,7,41.93185208,-87.63817707
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, WEATHER",N,N,11,4,7,42.02106976,-87.67269172
7/12/2023,N,"IMPROPER BACKING, NOT APPLICABLE",N,N,8,4,7,41.85196164,-87.69941016
7/12/2023,Y,"IMPROPER LANE USAGE, IMPROPER OVERTAKING/PASSING",N,N,11,4,7,41.74906506,-87.7412039
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,12,4,7,41.83468544,-87.63145588
7/12/2023,N,"FAILING TO YIELD RIGHT-OF-WAY, EQUIPMENT - VEHICLE CONDITION",N,N,21,4,7,41.97006651,-87.71937787
7/12/2023,Y,"DRIVING ON WRONG SIDE/WRONG WAY, IMPROPER LANE USAGE",Y,N,13,4,7,41.84624146,-87.70523892
7/12/2023,N,"DISREGARDING STOP SIGN, DISREGARDING STOP SIGN",N,N,17,4,7,41.99805033,-87.66298529
7/12/2023,N,"FOLLOWING TOO CLOSELY, NOT APPLICABLE",N,N,15,4,7,41.88043734,-87.65722475
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,15,4,7,41.99788399,-87.69614252
7/6/2023,Y,"UNABLE TO DETERMINE, UNABLE TO DETERMINE",N,N,16,5,7,41.87598649,-87.70585041
12/20/2022,N,"FAILING TO YIELD RIGHT-OF-WAY, NOT APPLICABLE",N,N,10,3,12,41.91115214,-87.66132779
7/12/2023,Y,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,13,4,7,41.86249584,-87.73445139
7/12/2023,N,"UNABLE TO DETERMINE, NOT APPLICABLE",N,N,19,4,7,41.98312792,-87.82146734
