YEAR,ZONE,SUM_CRASHES
2013,18,2
2014,9,1
2014,10,1
2014,13,2
2014,14,1
2014,19,1
2015,3,77
2015,4,588
2015,5,209
2015,7,69
2015,8,829
2015,9,966
2015,10,864
2015,12,111
2015,13,1334
2015,14,2966
2015,15,1
2015,16,9
2015,17,244
2015,18,797
2015,19,716
2016,3,312
2016,4,2408
2016,5,1029
2016,7,256
2016,8,3800
2016,9,5510
2016,10,3625
2016,12,503
2016,13,6177
2016,14,11990
2016,16,31
2016,17,942
2016,18,3775
2016,19,3731
2017,3,575
2017,4,4674
2017,5,2329
2017,7,531
2017,8,6860
2017,9,10151
2017,10,4812
2017,12,1205
2017,13,12588
2017,14,19814
2017,15,3
2017,16,76
2017,17,3058
2017,18,9078
2017,19,7714
2018,3,871
2018,4,6993
2018,5,3685
2018,7,725
2018,8,9287
2018,9,13948
2018,10,6127
2018,12,1589
2018,13,17075
2018,14,28594
2018,15,6
2018,16,153
2018,17,5123
2018,18,13510
2018,19,10776
2019,3,855
2019,4,6659
2019,5,3716
2019,7,734
2019,8,9224
2019,9,13880
2019,10,6278
2019,12,1696
2019,13,16916
2019,14,27885
2019,15,7
2019,16,382
2019,17,5027
2019,18,12930
2019,19,10645
2020,3,695
2020,4,6703
2020,5,3472
2020,7,574
2020,8,7269
2020,9,14180
2020,10,6117
2020,12,1378
2020,13,16470
2020,14,15379
2020,15,3
2020,16,235
2020,17,3495
2020,18,8871
2020,19,6659
2021,3,795
2021,4,7580
2021,5,3933
2021,7,645
2021,8,8973
2021,9,15987
2021,10,7184
2021,12,1529
2021,13,17754
2021,14,20123
2021,15,6
2021,16,344
2021,17,4047
2021,18,10525
2021,19,8503
2022,3,839
2022,4,6803
2022,5,3732
2022,7,723
2022,8,9273
2022,9,14085
2022,10,6320
2022,12,1483
2022,13,16395
2022,14,22649
2022,15,2
2022,16,404
2022,17,4311
2022,18,11176
2022,19,9243
2023,3,506
2023,4,3671
2023,5,2058
2023,7,429
2023,8,5291
2023,9,7762
2023,10,3637
2023,12,881
2023,13,9354
2023,14,13109
2023,15,1
2023,16,242
2023,17,2394
2023,18,6952
2023,19,5752
