YEAR,ZONE,SUM_CRASHES
2013,18,1
2014,13,1
2015,3,12
2015,4,159
2015,5,34
2015,7,14
2015,8,216
2015,9,261
2015,10,208
2015,12,45
2015,13,508
2015,14,547
2015,17,46
2015,18,171
2015,19,158
2016,3,52
2016,4,716
2016,5,255
2016,7,52
2016,8,914
2016,9,1724
2016,10,1005
2016,12,160
2016,13,2253
2016,14,2351
2016,16,4
2016,17,206
2016,18,925
2016,19,843
2017,3,113
2017,4,1382
2017,5,600
2017,7,112
2017,8,1820
2017,9,3343
2017,10,1371
2017,12,386
2017,13,4402
2017,14,3998
2017,15,1
2017,16,10
2017,17,619
2017,18,2225
2017,19,1704
2018,3,162
2018,4,2149
2018,5,958
2018,7,176
2018,8,2575
2018,9,4512
2018,10,1810
2018,12,494
2018,13,5855
2018,14,5965
2018,16,24
2018,17,1035
2018,18,3524
2018,19,2264
2019,3,167
2019,4,2072
2019,5,1001
2019,7,160
2019,8,2551
2019,9,4511
2019,10,1880
2019,12,549
2019,13,5793
2019,14,6158
2019,15,1
2019,16,65
2019,17,1097
2019,18,3412
2019,19,2390
2020,3,153
2020,4,2463
2020,5,1179
2020,7,156
2020,8,2266
2020,9,5520
2020,10,2263
2020,12,505
2020,13,6710
2020,14,4008
2020,15,2
2020,16,25
2020,17,859
2020,18,2595
2020,19,1672
2021,3,193
2021,4,2904
2021,5,1438
2021,7,175
2021,8,2866
2021,9,6441
2021,10,2836
2021,12,649
2021,13,7321
2021,14,5746
2021,15,1
2021,16,59
2021,17,985
2021,18,3192
2021,19,2264
2022,3,201
2022,4,2508
2022,5,1339
2022,7,188
2022,8,3012
2022,9,5493
2022,10,2411
2022,12,531
2022,13,6609
2022,14,6213
2022,16,41
2022,17,1069
2022,18,3243
2022,19,2515
2023,3,114
2023,4,1309
2023,5,702
2023,7,115
2023,8,1719
2023,9,2889
2023,10,1355
2023,12,309
2023,13,3740
2023,14,3511
2023,16,41
2023,17,527
2023,18,1905
2023,19,1516
